group_percent,number,date,close,pe_ttm,nav,year,percent,percent_pe,group_percent,group_pe,maxdd,maxl,maxdd_group_360,maxl_group_360
85,1403,2016-03-15,1996.92,51.53559875488281,2.0518416453202883,2016,0.5,0.3,85,108,0.48157179892909713,0.39655499469182537,0.287369826285905,0.1705059291308616
86,1404,2016-03-16,1977.5379999999998,50.96500015258789,2.031926578732945,2016,0.4,0.3,86,108,0.48157179892909713,0.39064058440343485,0.287369826285905,0.16237599479757148
87,1585,2016-12-09,2099.888,44.98789978027344,2.157641592506625,2016,0.5,0.3,87,114,0.42614491820516137,0.42614491820516137,0.24162136266315157,0.24162136266315157
88,1589,2016-12-15,1975.854,42.4901008605957,2.0301962633819453,2016,0.4,0.3,88,114,0.3969152895757146,0.39012123365390355,0.20299292382362755,0.1940142338452133
89,1590,2016-12-16,1998.1129999999998,42.96580123901367,2.05306745661111,2016,0.5,0.3,89,114,0.3969152895757146,0.3969152895757146,0.20299292382362755,0.20299292382362755
90,1592,2016-12-20,1982.2972,42.63930130004883,2.0368166718555583,2016,0.4,0.3,90,114,0.39497234618689875,0.3921035654996637,0.20042522545102762,0.19663398606424912
91,1593,2016-12-21,1991.6964,42.87649917602539,2.0464743797220195,2016,0.5,0.3,91,114,0.39497234618689875,0.39497234618689875,0.20042522545102762,0.20042522545102762
92,1601,2017-01-03,1963.255,42.6072998046875,2.0172507508479467,2017,0.4,0.3,92,114,0.3949324882760554,0.3862073953714622,0.23593960167610886,0.22492182625283022
93,1602,2017-01-04,1991.5652,43.21229934692383,2.046339571305124,2017,0.5,0.3,93,114,0.3949324882760554,0.3949324882760554,0.23593960167610886,0.23593960167610886
94,1872,2018-02-08,1641.4307,37.73419952392578,1.6865752599839914,2018,0.4,0.2,94,129,0.3659336998614614,0.2658651991826398,0.3659336998614614,0.2658651991826398
95,1873,2018-02-09,1592.5102,36.64450073242188,1.6363092907864818,2018,0.3,0.2,95,129,0.3659336998614614,0.24331322964210833,0.3659336998614614,0.24331322964210833
96,1954,2018-06-15,1641.6627,39.81700134277344,1.686813640721184,2018,0.4,0.2,96,143,0.2006457242598234,0.26596894721430897,0.26596894721430897,0.26596894721430897
97,1962,2018-06-28,1543.6637,37.31829833984375,1.5861193568241112,2018,0.3,0.2,97,143,0.2006457242598234,0.2193692188266136,0.26176784900807465,0.2193692188266136
98,1963,2018-06-29,1606.7147,38.87170028686523,1.6509044596720417,2018,0.4,0.2,98,143,0.2006457242598234,0.2500028785446476,0.26176784900807465,0.2500028785446476
99,1964,2018-07-02,1588.3739,39.34989929199219,1.6320592293931668,2018,0.3,0.2,99,143,0.2006457242598234,0.24134273422649413,0.26176784900807465,0.24134273422649413
100,1965,2018-07-03,1607.1223,39.80709838867188,1.6513232699672125,2018,0.4,0.2,100,143,0.2006457242598234,0.2501930935809925,0.26176784900807465,0.2501930935809925
101,1969,2018-07-09,1581.9302,39.152099609375,1.6254383071679652,2018,0.3,0.2,101,143,0.2006457242598234,0.2382524842120088,0.26176784900807465,0.2382524842120088
102,1970,2018-07-10,1592.9761,39.4718017578125,1.636788004516904,2018,0.4,0.2,102,143,0.2006457242598234,0.24353453890488375,0.26176784900807465,0.24353453890488375
103,1971,2018-07-11,1563.0085,38.779598236083984,1.6059962002932493,2018,0.3,0.2,103,143,0.2006457242598234,0.2290308082137748,0.26176784900807465,0.2290308082137748
104,1976,2018-07-18,1607.8841,40.37710189819336,1.6521060218878727,2018,0.4,0.2,104,143,0.2006457242598234,0.2505483448713747,0.26176784900807465,0.2505483448713747
105,1977,2018-07-19,1590.0633,39.8400993347168,1.6337950932613259,2018,0.3,0.2,105,143,0.2006457242598234,0.24214878740991,0.26176784900807465,0.24214878740991
106,1983,2018-07-27,1594.5674,39.65629959106445,1.6384230703233449,2018,0.4,0.2,106,143,0.2006457242598234,0.24428945430591384,0.24428945430591384,0.24428945430591384
107,2125,2019-03-01,1567.8731,50.69900131225586,1.610994592250777,2019,0.3,0.3,107,150,0.2006457242598234,0.09683047690530568,0.2012229028514129,0.09683047690530568
108,2166,2019-04-30,1623.7819,57.71049880981445,1.6684410619039842,2019,0.4,0.4,108,157,0.2006457242598234,0.12792770999602837,0.2012229028514129,0.12792770999602837
109,2240,2019-08-16,1567.9928,49.8296012878418,1.6111175843811298,2019,0.3,0.3,109,158,0.2006457242598234,-0.0,0.2012229028514129,-0.0
110,2345,2020-01-21,1967.0268,55.14419937133789,2.021126287333044,2020,0.4,0.4,110,165,0.2006457242598234,0.08706154893263278,0.2006457242598234,0.08706154893263278
111,2346,2020-01-22,1993.8991,56.09030151367188,2.048737660971217,2020,0.5,0.4,111,165,0.2006457242598234,0.09936545936552159,0.2006457242598234,0.09936545936552159
112,2350,2020-02-05,1939.6198,55.37889862060547,1.9929655077458328,2020,0.4,0.4,112,167,0.2006457242598234,0.0580359099242026,0.2006457242598234,0.0580359099242026
113,2377,2020-03-13,2030.58,55.49340057373047,2.0864274022767417,2020,0.5,0.4,113,169,0.2006457242598234,0.10023136246786625,0.2006457242598234,0.10023136246786625
114,2394,2020-04-08,1964.7573,54.20159912109375,2.018794368871586,2020,0.4,0.3,114,170,0.2006457242598234,0.021211729306209962,0.2006457242598234,0.021211729306209962
115,2395,2020-04-09,1997.1361,55.06520080566406,2.0520636887569577,2020,0.5,0.3,115,170,0.2006457242598234,0.03708044734657789,0.2006457242598234,0.03708044734657789
116,2399,2020-04-15,1977.5145,54.6244010925293,2.0319024324082724,2020,0.4,0.3,116,170,0.2006457242598234,-0.0,0.2006457242598234,-0.0
117,2447,2020-06-29,2372.5363,65.56169891357422,2.437788587111206,2020,0.5,0.4,117,173,0.2006457242598234,-0.0,0.2006457242598234,-0.0
118,2456,2020-07-10,2778.4567,76.6852035522461,2.854873087945025,2020,0.6,0.5,118,174,0.2006457242598234,0.1063270483934482,0.2006457242598234,0.1063270483934482
119,2459,2020-07-15,2813.0607,77.59220123291016,2.8904288079010887,2020,0.7,0.5,119,174,0.2006457242598234,0.11732029102678097,0.2006457242598234,0.11732029102678097
120,2464,2020-07-22,2769.028,76.42500305175781,2.8451850687348252,2020,0.6,0.5,120,174,0.2006457242598234,0.1032840404647407,0.2006457242598234,0.1032840404647407
121,2465,2020-07-23,2799.6735,77.29859924316406,2.8766734173625426,2020,0.7,0.5,121,174,0.2006457242598234,0.11309958107615052,0.2006457242598234,0.11309958107615052
122,2470,2020-07-30,2743.6336,75.1989974975586,2.8190922420427587,2020,0.6,0.5,122,174,0.2006457242598234,0.09498425737314206,0.2006457242598234,0.09498425737314206
123,2475,2020-08-06,2814.3737,76.26419830322266,2.8917779195732165,2020,0.7,0.5,123,174,0.2006457242598234,0.11773209080229832,0.2006457242598234,0.11773209080229832
